label,structure,operation,count,mean_ns,p50_ns,p99_ns,total_seconds,final_size,final_height,rotations_left,rotations_right
theta_0_0_r3,bst,ALL,201500,30614.19751861042,4600,50400,6.1687608,13427,26,0,0
theta_0_6_r1,avl,I,70269,37124.178513996216,29200,106700,2.6086789,13427,16,34247,31325
theta_0_6_r1,avl,D,59885,32783.84403439926,26800,95000,1.9632605,13427,16,34247,31325
theta_0_6_r1,avl,S,69846,3706.3010050682933,2800,8500,0.2588703,13427,16,34247,31325
theta_0_6_r1,avl,RANK,500,3544.8,3400,6200,0.0017724,13427,16,34247,31325
theta_0_6_r1,avl,SELECT,500,5082.8,4900,9300,0.0025414,13427,16,34247,31325
theta_0_6_r1,avl,RANGE,500,8539.8,8200,15800,0.0042699,13427,16,34247,31325
theta_0_6_r1,avl,ALL,201500,24016.840694789083,14400,78900,4.8393934,13427,16,34247,31325
theta_0_6_r1,bst,I,70269,3731.4989540195534,3000,9200,0.2622087,13427,26,0,0
theta_0_6_r1,bst,D,59885,4481.127160390749,3600,10800,0.2683523,13427,26,0,0
theta_0_6_r1,bst,S,69846,3252.9937290610774,2500,8100,0.2272086,13427,26,0,0
theta_0_6_r1,bst,RANK,500,3438027.2,2734900,12296700,1.7190136,13427,26,0,0
theta_0_6_r1,bst,SELECT,500,3010064.2,2428000,10505000,1.5050321,13427,26,0,0
theta_0_6_r1,bst,RANGE,500,2881107.2,2226400,10440200,1.4405536,13427,26,0,0
theta_0_6_r1,bst,ALL,201500,26910.01935483871,2900,28300,5.4223689,13427,26,0,0
theta_0_6_r2,avl,I,70269,35845.30447281162,29700,117800,2.5188137,13427,16,34247,31325
theta_0_6_r2,avl,D,59885,32225.572346998415,27300,102700,1.9298284,13427,16,34247,31325
theta_0_6_r2,avl,S,69846,3475.647853849898,2800,8600,0.2427601,13427,16,34247,31325
theta_0_6_r2,avl,RANK,500,6584.4,4600,8300,0.0032922,13427,16,34247,31325
theta_0_6_r2,avl,SELECT,500,6460.6,7000,12300,0.0032303,13427,16,34247,31325
theta_0_6_r2,avl,RANGE,500,11616.4,11400,20500,0.0058082,13427,16,34247,31325
theta_0_6_r2,avl,ALL,201500,23343.58759305211,14700,84900,4.7037329,13427,16,34247,31325
theta_0_6_r2,bst,I,70269,3807.068550854573,2400,9200,0.2675189,13427,26,0,0
theta_0_6_r2,bst,D,59885,4282.581614761626,2800,11500,0.2564624,13427,26,0,0
theta_0_6_r2,bst,S,69846,3347.1551699453084,2000,8100,0.2337854,13427,26,0,0
theta_0_6_r2,bst,RANK,500,3701927.8,2888100,15143000,1.8509639,13427,26,0,0
theta_0_6_r2,bst,SELECT,500,3212286.6,2596700,11638400,1.6061433,13427,26,0,0
theta_0_6_r2,bst,RANGE,500,3064127.8,2109100,15027500,1.5320639,13427,26,0,0
theta_0_6_r2,bst,ALL,201500,28520.78312655087,2400,28500,5.7469378,13427,26,0,0
theta_0_6_r3,avl,I,70269,40726.72729083949,29700,147800,2.8618264,13427,16,34247,31325
theta_0_6_r3,avl,D,59885,39900.31393504216,27300,139100,2.3894303,13427,16,34247,31325
theta_0_6_r3,avl,S,69846,4165.025914153996,2800,9900,0.2909104,13427,16,34247,31325
theta_0_6_r3,avl,RANK,500,3728.8,3300,6600,0.0018644,13427,16,34247,31325
theta_0_6_r3,avl,SELECT,500,5432.2,4800,10400,0.0027161,13427,16,34247,31325
theta_0_6_r3,avl,RANGE,500,8374.0,7700,18200,0.004187,13427,16,34247,31325
theta_0_6_r3,avl,ALL,201500,27548.06253101737,15000,101600,5.5509346,13427,16,34247,31325
